"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"258","Haji Bunder Rd","643","0-4, Guru Gobind Singh Rd, Veena Nagar, Mulund West","3/1/2020 - 3/31/2020, Every day, Daily Average",2605,2120,3200
"258","Haji Bunder Rd","644","Building Number 3, Gaurav Enclave Rd, Chandan Shanti, Mira Road East","3/1/2020 - 3/31/2020, Every day, Daily Average",4968,3844,6420
"258","Haji Bunder Rd","645","EL-99","3/1/2020 - 3/31/2020, Every day, Daily Average",2698,2215,3285
"258","Haji Bunder Rd","647","Suyash Building","3/1/2020 - 3/31/2020, Every day, Daily Average",1729,1227,2434
"258","Haji Bunder Rd","648","Bellpepper St","3/1/2020 - 3/31/2020, Every day, Daily Average",3635,2861,4618
"258","Haji Bunder Rd","649","Plot No. 48","3/1/2020 - 3/31/2020, Every day, Daily Average",2797,2254,3469
"258","Haji Bunder Rd","651","Mankoli - Anjurphata Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",3661,2926,4579
"258","Haji Bunder Rd","652","David Joshua","3/1/2020 - 3/31/2020, Every day, Daily Average",3226,2610,3986
"258","Haji Bunder Rd","653","0, Sector 2","3/1/2020 - 3/31/2020, Every day, Daily Average",2753,2241,3380
"258","Haji Bunder Rd","655","Mumbai - Agra National Hwy","3/1/2020 - 3/31/2020, Every day, Daily Average",3453,2815,4235
"258","Haji Bunder Rd","659","100, Cardinal Gracias Rd, AAI Colony, J B Nagar, Andheri East","3/1/2020 - 3/31/2020, Every day, Daily Average",2370,1779,3155
"258","Haji Bunder Rd","662","Dahisar Check Naka","3/1/2020 - 3/31/2020, Every day, Daily Average",4239,3222,5575
"258","Haji Bunder Rd","663","0, Ghodbunder Rd, Owale, Thane West","3/1/2020 - 3/31/2020, Every day, Daily Average",3791,2977,4827
"258","Haji Bunder Rd","664","Ram Bhuvan Chawl","3/1/2020 - 3/31/2020, Every day, Daily Average",2840,2129,3786
"258","Haji Bunder Rd","665","Lala Lajpatrai Marg","3/1/2020 - 3/31/2020, Every day, Daily Average",2016,1500,2708
"258","Haji Bunder Rd","667","Janjira Chambers","3/1/2020 - 3/31/2020, Every day, Daily Average",996,708,1399
"258","Haji Bunder Rd","668","0, Bhulabhai Desai Marg, Breach Candy, Cumballa Hill","3/1/2020 - 3/31/2020, Every day, Daily Average",1668,1213,2292
"258","Haji Bunder Rd","669","Dayabhai Chawl","3/1/2020 - 3/31/2020, Every day, Daily Average",3929,2897,5328
"258","Haji Bunder Rd","670","Neelkanth Smruti","3/1/2020 - 3/31/2020, Every day, Daily Average",1680,1306,2159
"258","Haji Bunder Rd","672","Godrej and Boyce Factory Rd","3/1/2020 - 3/31/2020, Every day, Daily Average",1566,1211,2023
"258","Haji Bunder Rd","673","Patil Pada Road","3/1/2020 - 3/31/2020, Every day, Daily Average",4196,3507,5020
"258","Haji Bunder Rd","674","BJ Road","3/1/2020 - 3/31/2020, Every day, Daily Average",2919,1972,4319
"258","Haji Bunder Rd","675","Chandrama CHS","3/1/2020 - 3/31/2020, Every day, Daily Average",5843,4586,7443
"258","Haji Bunder Rd","676","0, Kondivita Rd, Bhim Nagar, Andheri East","3/1/2020 - 3/31/2020, Every day, Daily Average",2952,2368,3678
"258","Haji Bunder Rd","677","A-10, Mithaghar Rd, Tridal Society, Patil Nagar, LIC Housing Colony, Mulund East","3/1/2020 - 3/31/2020, Every day, Daily Average",2192,1785,2691
"258","Haji Bunder Rd","679","0/16/91, RCF Colony Rd, Gulab Park Colony, RCF Colony, Chembur East","3/1/2020 - 3/31/2020, Every day, Daily Average",725,560,937
"258","Haji Bunder Rd","680","P-2, SV Rd, Rani Sati Nagar, Sunder Nagar, Malad West","3/1/2020 - 3/31/2020, Every day, Daily Average",3448,2576,4613
"258","Haji Bunder Rd","681","Vijay Marg","3/1/2020 - 3/31/2020, Every day, Daily Average",3487,2857,4255
